event_name,event_date,event_time,event_location,event_description,hosted_by,price,event_url
a16z speedrun AI Faire,Fri Oct 10,1:00 pm,South Beach,"Please join us for the a16z speedrun AI Faire, featuring the hottest AI startups coming out of the last 5 batches. You'll have the opportunity to meet dozens of founders from a16z speedrun's past and present and learn about (and demo!) the AI tools they're building. This is for executives looking to adopt new tech at their company, new media creators wanting to feature cutting-edge startups to their audiences, and seed-stage investors looking to invest in their next big thing. There is no planned programming - this is for you to walk around and see AI demos from early-stage founders in a casual environment. Entry times will be staggered. Please provide your preferred entry time upon application to attend. We will confirm with an email what your entry time is for the event. Note: Investors will automatically be put into the 3pm-5pm time slot. a16z speedrun is Andreessen Horowitz's program to invest in, and help, new startups. We run a 2x/year program that spans 12 weeks, with dozens of startups working out of a16z’s offices in SF and LA. So far we've invested in over 150 startups with $180M+ in capital deployed. Due to capacity constraints, we will not be able to accommodate every guest that applies. Please wait to see ""you're on the list"" before you make plans to attend. Thank you for understanding. We look forward to hosting you! This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,$180,https://partiful.com/e/wDSpaj6OGV2nb833y5S2
a16z speedrun Demo Day (SR005),Tue Oct 7,9:00 am,SOMA,"The SR005 cohort is taking the stage for Demo Day in San Francisco during Tech Week! Doors open at 9:00 AM PT for check-in. Programming kicks off at 10:00 AM PT sharp with a few special guests, followed by founder pitches from 10:30 AM–1:00 PM PT. Afterward, we’ll break for lunch and open the demo hall where you can connect with the founders one on one. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/cGNtH8rVcfosm1tLtMLS
a16z Speedrun Startup Culture Brunch: Angels/VCs Edition,Thu Oct 9,9:30 am,SOMA,"Come spend a few hours with early stage VCs and angel investors discussing the fundamentals of strong startup culture and teams. We'll include a panel of investors and founders, moderated by a16z Speedrun's Head of People. Seats will be limited for early stage VCs and angel investors. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/NfU63ZDaZw1urRM3NO1B
a16z speedrun Titans of New Media Dinner,Mon Oct 6,6:00 pm,SOMA,"The a16z speedrun ""Titans of New Media"" dinner is a private, off-the-record event. The dinner will take place on the evening of Monday, October 6th. We'll have a residence w/ staff for a cocktail hour + a private chef for dinner. ☝️ Accepted guests are also welcome to attend the a16z speedrun DEMO DAY, which takes place the following day at the Yerba Buena Center for the Arts. Ask Ryan Rigney for details. 🕒 6:00–9:00pm (cocktails + dinner, we'd appreciate it if you can stay for the duration of the event) ✅ Bring ID for check-in 🍽 Dietary restrictions? Let us know 👥 Expect a great group 👗 Smart casual | 🧥 Coat check available 🔒 Private, off-the-record event This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/C2ZredvfhrKZ7ZwwUHPL
Breakfast & Build: AI Agent Speedrun,Wed Oct 8,8:00 am,SOMA,"Fuel up with artisan coffee and SF's best bagels while participating in 30-minute AI agent building sprints. Attendees rotate between demo stations showing different use cases. Lightning talks from engineers who've scaled to 1M+ agent interactions. Hosted by Inkeep, the enterprise platform teams use to ship AI agents—no-code Visual Builder or TypeScript SDK, multi-agent orchestration, and MCP-based tool integrations. Trusted by companies like Anthropic, Midjourney, Pinecone, and PostHog. inkeep.com This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/soSfN0BoeSIGpMSgAZV7
"Bacon, Eggs & Blockchain w/ Deel & Liquifi",Tue Oct 7,9:00 am,SOMA,"Because nothing pairs better with crypto than crispy bacon and bottomless coffee. Join Deel and Liquifi for a breakfast that’s part brain fuel, part builder therapy, and all things web3. Expect sizzling conversations on scaling, token comp, and the wild world of global payroll, served sunny-side up. 🥂 Builders, founders, and big dreamers welcome. Come hungry, leave inspired. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/3SbUW6cDnlZITuGvLJ0a
Benefits & Backhands - Pickleball Tournament,Mon Oct 6,11:30 am,SOMA,"Founders and Heads of People, you’ve earned a break from comp bands, headcount plans, and “quick syncs.” Join Deel, and Nava Benefits for an afternoon where the only things we’re tracking are padel scores, empty glasses, and who’s stealing the last slice of pizza. Drinks, food, and plenty of backhands are on us. Networking optional, bragging rights mandatory. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",D,,https://partiful.com/e/MHzh4E3GonLnNEEFEIOl
Deel Presents... AI Under the Hood: How Early-Stage Founders Are Building AI-First,Mon Oct 6,4:00 pm,FiDi (SF),,,,https://partiful.com/e/zpFmcJ1324XaTO55D8gi
Dinner & Dollars - Dinner w/ Deel & Human Interest,Tue Oct 7,6:00 pm,SOMA,"Join Deel and Human Interest for Dinner & Dollars, an intimate evening with fellow SMB founders and Heads of People. Over good food and easy conversation, we’ll dig into the real challenges that come with building and scaling a business today, everything from hiring and payroll to benefits and compensation. Think less “conference panel,” more “pull up a chair and share what’s really working (and what’s not).” It’s a chance to swap stories, pick up ideas, and connect with other leaders who are in the thick of it just like you. Seats are limited, so be sure to save your spot. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/WqyXh2QmdToDOgseIkoo
"Forks & Founders Dinner w/ Deel, a16z and Attivo",Wed Oct 8,6:00 pm,,"Forks & Founders is where big ideas meet good food. Join Deel and a16z for a relaxed dinner with fellow founders and CFOs swapping stories, scaling secrets, and plenty of laughs, all served with a side of global ambition. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/Jl1y9gZhFtwBre0naQZn
People & Pancakes,Wed Oct 8,9:00 am,SOMA,"​Who doesn’t love brunch during SF Tech Week? 🥞 Bennie, Deel, and Thatch are hosting Pancakes & People — a casual gathering where tech leaders, founders, and operators can connect over good food, hot coffee, and great vibes. ​Save your spot, bring your appetite, and let’s make some connections that matter. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/XjhMpcWefhvpzrRzw220
Scaling Securely in the Age of AI: SFTW Brunch,Thu Oct 9,10:30 am,Duboce Triangle,"Join Deel, Scrut and Greylock for our SF Tech Week CTO brunch! A private networking brunch bringing together CTOs, CISOs, VPs of Engineering, and technical leaders building the future of tech. This isn’t another panel or pitch. It’s a curated gathering for thoughtful conversation on the real challenges and breakthroughs in scaling teams, navigating AI, infrastructure, engineering culture, and what’s next in tech leadership. Expect strong coffee, great food, and even better company. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/tUi3KJ1xREdLn7vPj7rr
"SFTW CFO Brunch w/ A16Z, Carta, Deel, Rillet",Mon Oct 6,10:30 am,Duboce Triangle,"Join A16Z, Carta, Deel, and Rillet for our SF Tech Week CFO brunch! A private networking brunch bringing together CFOs, Heads of Finance, and strategic operators guiding the financial future of tech. This isn’t a panel, a pitch, or a sales deck. It’s a curated conversation among peers tackling what really matters: capital efficiency, strategic planning, fundraising dynamics, the financial impact of AI, and how to lead through volatility. Expect sharp minds, strong coffee, and candid conversations with the people who keep tech’s engine running This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/liv01x6aVVJdjmaf371I
Is AI the New Referee? with The Information & IBM,Wed Oct 8,5:30 pm,SOMA,"Is AI the New Referee? - Join The Information and IBM for a cocktail reception and discussion on How AI is Reshaping Sports and its Fans. From player performance and coaching tactics to media viewing and spectator engagement, AI is changing the game at every level. This session will explore the opportunities and challenges ahead as AI redefines the future of sports on and off the field. Speakers to be announced soon. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com. IBM may take group photos or perform live streaming during the event for promotional purposes.",,,https://partiful.com/e/yD444jBFc7VjQuYYzfCd?
Unlocking Our Quantum Future with IBM,Thu Oct 9,8:45 am,FiDi (SF),"iHeartMedia and IBM Present: A Live Conversation on Quantum Computing at SF #TechWeek Join Malcolm Gladwell and Jay Gambetta, IBM Fellow and Vice President of IBM Quantum as they dive into the transformative potential of quantum computing, from groundbreaking research to real-world applications and a growing ecosystem driving the future of technology. ​This discussion will be a live recording of the Smart Talks with IBM podcast series. Registration will open at 8:45AM, with the podcast recording beginning promptly at 9:30AM. A reception with coffee and light bites to follow. Seating is limited and subject to approval - request an invite ASAP! This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/aFK1vin7mHLy7iwFMCax
"Navigating Capital Markets: Insights, Strategies, and Leadership",Tue Oct 7,8:00 am,SOMA,"Join PwC at our San Francisco tech week event in partnership with A16z. This event is designed for you—a chance to gain fresh insights, connect with fellow industry leaders, and explore the evolving capital markets together. As the capital markets shift and the IPO window cautiously reopens, CFOs are once again in the spotlight. This event is designed specifically for financial leaders navigating uncertainty, evaluating exit opportunities, and preparing their companies for the next stage of growth — whether that’s IPO, M&A, or strategic capital planning. We’re thrilled to host you for an exciting panel and dynamic conversation—plus plenty of opportunities to connect and network! By registering for this event, you consent to receive post-event communications from the hosts.",,,https://partiful.com/e/jJm5Rr0G9v2zQ4hb0MH5
"AI, Infra, & the Future of Generative Media",Tue Oct 7,4:00 pm,SOMA,"Join us for: AI, Infrastructure, and the Future of Generative Media, a San Francisco Tech Week panel and reception hosted by HSBC Innovation Banking and a16z. Date: Tuesday, October 7 Time: 4:00pm - 6:00pm Location: SOMA, San Francisco, CA This exclusive reception will bring together leading VCs, founders, and senior executives for conversation and networking alongside a panel discussion on the state of AI Infrastructure and Generative Media, with Jennifer Li, GP at a16z, Gorkem Yurtseven, Co-Founder at Fal.ai, Adam Brown, Co-founder at Mux, moderated by Alex Choy, Managing Director at HSBC Innovation Banking. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/AH9DmLnRAMiHc5VzuWP6
Law Meets Code: AI Rules That Could Shape Your Startup,Mon Oct 6,4:00 pm,,"AI development is moving fast—and so is the policy landscape shaping it. For founders, CEOs, and operators, navigating these shifts is critical to scaling responsibly and staying ahead. Join a16z, Databricks, and Fenwick for a conversation on the most pressing legal and regulatory issues facing high-growth startups, including federal and state proposals on model development, liability, transparency, copyright, and energy and data center policies. This session will help leaders understand what’s coming and how to prepare today for tomorrow’s rules. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/BSa6N2I7XZ9zTInxHS3g
Atlassian: Unleash Every Startup,Thu Oct 9,4:30 pm,FiDi (SF),"Join Atlassian to celebrate the growth of Atlassian for Startups (https://atlassian.com/startups), an offering of Atlassian products specifically for early-stage companies! 🎉 Come meet founders, investors, leaders from Atlassian and the Atlassian for Startups team! Bites and beverages served throughout the evening. The exact location in FiDi SF will be revealed closer to the event. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/TrACgDBwlDBQUeIIFLmO
a16z AI Infra x AGI House Paper Reading Event,Sun Oct 12,2:30 pm,SOMA,"a16z AI Infra x AGI House: Deep Research Agents with Test-Time Diffusion 📍 AGI House • 🗓 Tech Week (Apply to attend. Space is limited.) The cutting edge of research agents is moving beyond simple search-and-retrieve. Google’s recent work on Test-Time Diffusion (https://arxiv.org/abs/2507.16075) proposes a new way to guide reasoning during inference, borrowing ideas from diffusion models to structure exploration and convergence at test time. This reading group will dive into: * The core idea: how diffusion-based sampling can steer large models to more consistent, high-quality reasoning outcomes. * Why it matters: implications for research agents, long-horizon planning, and reasoning reliability. * Hands-on discussion: strengths, limitations, and future extensions of the method compared to reinforcement learning and other alignment techniques. 🔬 Spotlight Paper Deep Research Agents with Test-Time Diffusion (Google Research, 2025) This will be a paper-style reading club session: short framing intro followed by collective discussion and critical analysis. Bring questions, skepticism, and ideas on where this approach could take us next. Hosted by AGI House x a16z AI Infra. See you there to explore the frontier of agent reasoning! ⚡ This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/1ufh1qC9CUrm5uuwmCUK
a16z Health AI Builder Dinner,Tue Oct 7,6:00 pm,Pacific Heights,Please join us for dinner as we bring together entrepreneurs building a healthier future for all. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.co,,,https://partiful.com/e/nRueysJ4ZIUceKkH53iQ
